,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,price
bedrooms,1.0,0.5158836376158312,0.5766706925022448,0.03170324294493054,0.17542893521993957,-0.0065824786657815645,0.07953185183706335,0.028472104429203823,0.3569667253596055,0.477600161429134,0.3030933753206651,0.15417806945248694,0.018840823118937415,0.30833836868809483
bathrooms,0.5158836376158312,1.0,0.7546652789673752,0.0877396615312631,0.5006531725878688,0.0637436291356373,0.18773702397664255,-0.12498193347933302,0.6649825338780723,0.6853424758761547,0.2837700340046703,0.5060194382852536,0.05073897764805926,0.5251340727455998
sqft_living,0.5766706925022448,0.7546652789673752,1.0,0.17282566132360044,0.3539492902367184,0.10381781768450193,0.2846111862169018,-0.05875258685942622,0.7627044764584776,0.8765965986813202,0.4350429736698242,0.31804876899644413,0.05536292687380442,0.7020437212325302
sqft_lot,0.03170324294493054,0.0877396615312631,0.17282566132360044,1.0,-0.005200990872992025,0.02160368327661375,0.07471010556640102,-0.008958249506243313,0.11362112362862972,0.18351228086523363,0.0152862016461728,0.0530803670255768,0.007643505013563341,0.08965520771082405
floors,0.17542893521993957,0.5006531725878688,0.3539492902367184,-0.005200990872992025,1.0,0.02369832025497446,0.029443820231031943,-0.263767945508646,0.45818251367194585,0.5238847102851428,-0.2457045422736976,0.48931942474364576,0.006338400758647948,0.25678570497551123
waterfront,-0.0065824786657815645,0.0637436291356373,0.10381781768450193,0.02160368327661375,0.02369832025497446,1.0,0.40185735069757367,0.016653157443820055,0.08277491386769598,0.07207459167209809,0.08058793895429324,-0.026161085578766206,0.09288483674710032,0.2663305105222559
view,0.07953185183706335,0.18773702397664255,0.2846111862169018,0.07471010556640102,0.029443820231031943,0.40185735069757367,1.0,0.04598973665511029,0.25132058451449185,0.16764934410325177,0.2769465787675849,-0.05343985139232639,0.10391728817392419,0.39734647437894105
condition,0.028472104429203823,-0.12498193347933302,-0.05875258685942622,-0.008958249506243313,-0.263767945508646,0.016653157443820055,0.04598973665511029,1.0,-0.14467367120300054,-0.15821361637833137,0.17410491386822446,-0.36141656224866225,-0.06061778657589368,0.036391921410229004
grade,0.3569667253596055,0.6649825338780723,0.7627044764584776,0.11362112362862972,0.45818251367194585,0.08277491386769598,0.25132058451449185,-0.14467367120300054,1.0,0.755922937623647,0.16839182490499205,0.446963204926607,0.014414280720814866,0.6674627402178563
sqft_above,0.477600161429134,0.6853424758761547,0.8765965986813202,0.18351228086523363,0.5238847102851428,0.07207459167209809,0.16764934410325177,-0.15821361637833137,0.755922937623647,1.0,-0.05194330677072736,0.42389835166374285,0.023284687865467776,0.6055655067254401
sqft_basement,0.3030933753206651,0.2837700340046703,0.4350429736698242,0.0152862016461728,-0.2457045422736976,0.08058793895429324,0.2769465787675849,0.17410491386822446,0.16839182490499205,-0.05194330677072736,1.0,-0.13312409890106924,0.07132290174184826,0.323837358137661
yr_built,0.15417806945248694,0.5060194382852536,0.31804876899644413,0.0530803670255768,0.48931942474364576,-0.026161085578766206,-0.05343985139232639,-0.36141656224866225,0.446963204926607,0.42389835166374285,-0.13312409890106924,1.0,-0.2248735184518812,0.0539818251796603
yr_renovated,0.018840823118937415,0.05073897764805926,0.05536292687380442,0.007643505013563341,0.006338400758647948,0.09288483674710032,0.10391728817392419,-0.06061778657589368,0.014414280720814866,0.023284687865467776,0.07132290174184826,-0.2248735184518812,1.0,0.12644222895207036
price,0.30833836868809483,0.5251340727455998,0.7020437212325302,0.08965520771082405,0.25678570497551123,0.2663305105222559,0.39734647437894105,0.036391921410229004,0.6674627402178563,0.6055655067254401,0.323837358137661,0.0539818251796603,0.12644222895207036,1.0
